sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13
2953.0,2394.0,3213.0,1.41,4.24,7.77,0.02,-0.04,-0.16,4095.0,4095.0,4095.0,4081.0,4095.0
2899.0,2925.0,3225.0,1.17,4.28,8.54,0.09,0.26,0.07,4095.0,4095.0,4095.0,4060.0,4095.0
2727.0,2869.0,3210.0,0.84,3.93,8.65,-0.08,-0.27,0.03,4095.0,4095.0,4095.0,4016.0,4095.0
939.0,3652.0,3222.0,2.14,3.64,8.42,-0.13,0.1,-0.08,4095.0,4095.0,4095.0,4016.0,4095.0
975.0,4095.0,3232.0,1.54,3.49,8.54,-0.05,-0.08,-0.13,4095.0,4095.0,4095.0,4013.0,4095.0
1309.0,4095.0,3221.0,1.33,4.03,8.28,-0.05,-0.08,0.14,4095.0,4095.0,4095.0,4010.0,4095.0
2801.0,4087.0,3230.0,1.76,3.44,8.52,-0.09,-0.03,0.18,4095.0,4095.0,4095.0,3969.0,4095.0
2925.0,3367.0,3219.0,1.13,3.52,8.62,0.11,0.17,0.06,4095.0,4095.0,4095.0,3936.0,4095.0
3201.0,2966.0,3229.0,0.96,4.22,8.15,0.14,0.05,0.06,4095.0,4095.0,4095.0,3867.0,4095.0
3276.0,2750.0,3239.0,1.13,4.32,8.43,0.07,0.13,-0.04,4095.0,4095.0,4095.0,3827.0,4095.0
3188.0,2657.0,3228.0,0.61,4.46,8.21,0.18,0.36,0.17,4095.0,4095.0,4095.0,3811.0,4095.0
3405.0,2713.0,3231.0,0.69,4.48,8.21,0.05,0.01,-0.05,4095.0,4095.0,4095.0,3825.0,4095.0
3013.0,2638.0,3217.0,1.3,4.32,7.99,-0.0,-0.28,0.27,4095.0,4095.0,4095.0,3831.0,4095.0
1965.0,3053.0,3136.0,2.59,4.84,8.01,-0.27,0.08,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
1771.0,3171.0,3150.0,1.94,4.07,7.96,-0.05,-0.01,0.07,4095.0,4095.0,4095.0,4095.0,4095.0
2864.0,3909.0,3149.0,2.52,4.03,7.92,0.07,0.2,0.17,4095.0,4095.0,4095.0,4095.0,4095.0
1978.0,4095.0,3136.0,1.77,4.39,7.87,0.05,0.6,0.14,4095.0,4095.0,4095.0,4095.0,4095.0
1145.0,3559.0,3147.0,2.13,4.66,8.09,0.25,0.04,0.07,4095.0,4095.0,4095.0,4095.0,4095.0
990.0,3960.0,3147.0,2.86,5.51,9.08,-0.02,-0.34,0.28,4095.0,4095.0,4095.0,4095.0,4095.0
1406.0,4095.0,3445.0,2.46,4.54,8.1,-0.22,-0.08,0.18,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,2.51,4.8,8.33,-0.12,-0.39,-0.04,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,3629.0,2.81,4.44,8.09,-0.32,-0.12,0.08,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,3674.0,2.23,3.66,8.65,-0.12,0.23,0.21,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,3711.0,2.31,3.84,8.28,-0.46,-0.63,0.18,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,2.81,3.09,8.91,-0.19,0.0,0.16,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,2.18,2.67,8.63,-0.01,0.07,0.21,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,3.11,3.0,8.51,0.01,-0.18,-0.13,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,2.64,2.93,8.7,0.04,0.01,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,3.2,3.0,8.25,-0.02,0.09,-0.09,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,3639.0,4.12,3.61,8.09,-0.31,-0.26,-1.01,4095.0,4095.0,4095.0,3611.0,4095.0
4095.0,4095.0,4095.0,-0.61,2.83,7.4,-1.17,0.46,-1.08,4079.0,4080.0,4095.0,3666.0,4095.0
1951.0,4095.0,3167.0,0.57,3.68,9.46,0.33,0.08,0.7,3961.0,4095.0,4095.0,4095.0,4095.0
2640.0,4095.0,3136.0,0.26,5.04,8.04,1.36,0.33,-0.23,4095.0,4095.0,4095.0,4095.0,4095.0
3012.0,2267.0,2973.0,-0.08,6.75,6.48,-0.16,0.44,-0.01,3883.0,4095.0,4095.0,3419.0,3825.0
