hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,a
3141.0,3159.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.06,-0.03,0.01,-0.01,a
3136.0,3170.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.67,9.03,-0.03,0.01,-0.01,a
3134.0,3169.0,3802.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.65,9.08,-0.03,-0.01,-0.02,a
3141.0,3161.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.06,0.68,9.09,-0.03,0.0,-0.01,a
3146.0,3169.0,3787.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.1,-0.03,0.0,-0.01,a
3134.0,3166.0,3787.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.67,9.09,-0.03,0.0,-0.02,a
3123.0,3159.0,3791.0,4095.0,4095.0,4095.0,4085.0,4095.0,-2.01,0.65,9.11,-0.03,-0.0,-0.02,a
3143.0,3166.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.65,9.04,-0.03,0.0,-0.02,a
3136.0,3163.0,3786.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.68,9.06,-0.03,0.0,-0.01,a
3135.0,3158.0,3808.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.69,9.06,-0.03,0.0,-0.01,a
3137.0,3161.0,3824.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.08,-0.03,0.0,-0.01,a
3145.0,3161.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.05,-0.02,0.01,-0.01,a
3111.0,3157.0,3777.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.68,9.08,-0.03,-0.0,-0.01,a
3168.0,3152.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.08,-0.03,-0.0,-0.02,a
